date,subscribers,reviews
2019/1/17,2671,194
2019/1/18,2671,195
2019/1/19,2674,197
2019/1/20,2685,199
2019/1/21,2695,199
2019/1/22,2701,200
2019/1/23,2710,200
2019/1/24,2718,201
2019/1/25,2722,201
2019/1/26,2725,201
2019/1/27,2734,202
2019/1/28,2753,204
2019/1/29,2773,206
2019/1/30,2785,208
2019/1/31,2803,210
2019/2/1,2845,211
2019/2/2,2847,213
2019/2/3,2847,213
2019/2/4,2851,217
2019/2/5,2852,218
2019/2/6,2857,219
2019/2/7,2861,220
2019/2/8,2865,222
2019/2/9,2870,224
2019/2/10,2875,224
2019/2/11,2892,227
2019/2/12,2906,229
2019/2/13,2919,229
2019/2/14,2942,231
2019/2/15,2974,232
2019/2/16,2977,234
2019/2/17,2978,234
2019/2/18,2981,234
2019/2/19,2983,234
2019/2/20,2984,237
2019/2/21,2987,239
2019/2/22,2989,239
2019/2/23,2993,241
2019/2/24,2995,241
2019/2/25,3009,241
2019/2/26,3014,243
2019/2/27,3023,243
2019/2/28,3031,243
2019/3/1,3052,244
2019/3/2,3060,245
2019/3/3,3062,246
2019/3/4,3063,249
2019/3/5,3066,252
2019/3/6,3071,254
2019/3/7,3074,255
2019/3/8,3076,256
2019/3/9,3077,258
2019/3/10,3080,258
2019/3/11,3087,261
2019/3/12,3089,261
2019/3/13,3093,262
2019/3/14,3098,262
2019/3/15,3104,262
2019/3/16,3112,262
2019/3/17,3120,262
2019/3/18,3131,265
2019/3/19,3142,266
2019/3/20,3162,266
2019/3/21,3173,268
2019/3/22,3180,269
2019/3/23,3187,271
2019/3/24,3189,271
2019/3/25,3196,274
2019/3/26,3212,274
2019/3/27,3220,274
2019/3/28,3226,275
2019/3/29,3241,275
2019/3/30,3253,278
2019/3/31,3255,278
2019/4/1,3258,280
2019/4/2,3262,282
2019/4/3,3264,282
2019/4/4,3272,282
2019/4/5,3275,284
2019/4/6,3276,287
2019/4/7,3279,289
2019/4/8,3285,289
2019/4/9,3300,291
2019/4/10,3306,293
2019/4/11,3312,295
2019/4/12,3319,295
2019/4/13,3324,295
2019/4/14,3325,297
2019/4/15,3329,298
2019/4/16,3331,299
2019/4/17,3332,299
2019/4/18,3333,299
2019/4/19,3336,299
2019/4/20,3339,299
2019/4/21,3343,300
2019/4/22,3349,302
2019/4/23,3357,303
2019/4/24,3370,303
2019/4/25,3388,304
2019/4/26,3412,304
2019/4/27,3437,305
2019/4/28,3439,305
2019/4/29,3440,308
2019/4/30,3447,309
2019/5/1,3466,310
2019/5/2,3481,311
2019/5/3,3504,314
2019/5/4,3522,317
2019/5/5,3527,322
2019/5/6,3533,324
2019/5/7,3543,327
2019/5/8,3546,328
2019/5/9,3555,330
2019/5/10,3566,332
2019/5/11,3583,334
2019/5/12,3594,335
2019/5/13,3614,338
2019/5/14,3633,340
2019/5/15,3647,344
2019/5/16,3648,349
2019/5/17,3649,349
2019/5/18,3651,351
2019/5/19,3654,351
2019/5/20,3658,354
2019/5/21,3671,354
2019/5/22,3675,359
2019/5/23,3681,359
2019/5/24,3694,361
2019/5/25,3699,361
2019/5/26,3711,364
2019/5/27,3722,368
2019/5/28,3734,373
2019/5/29,3766,374
2019/5/30,3781,375
2019/5/31,3784,375
2019/6/1,3789,378
2019/6/2,3790,379
2019/6/3,3793,380
2019/6/4,3795,383
2019/6/5,3808,385
2019/6/6,3830,386
2019/6/7,3843,387
2019/6/8,3857,390
2019/6/9,3870,394
2019/6/10,3895,395
2019/6/11,3919,397
2019/6/12,3942,399
2019/6/13,3983,402
2019/6/14,4022,404
2019/6/15,4053,409
2019/6/16,4058,410
2019/6/17,4063,414
2019/6/18,4064,417
2019/6/19,4065,422
2019/6/20,4066,424
2019/6/21,4069,425
2019/6/22,4070,426
2019/6/23,4073,427
2019/6/24,4084,427
2019/6/25,4108,427
2019/6/26,4122,433
2019/6/27,4132,436
2019/6/28,4150,440
2019/6/29,4162,440
2019/6/30,4164,446
2019/7/1,4167,448
2019/7/2,4174,450
2019/7/3,4179,455
2019/7/4,4187,456
2019/7/5,4200,456
2019/7/6,4210,458
2019/7/7,4211,458
2019/7/8,4214,464
2019/7/9,4219,464
2019/7/10,4223,468
2019/7/11,4228,469
2019/7/12,4236,469
2019/7/13,4239,471
2019/7/14,4243,471
2019/7/15,4250,473
2019/7/16,4265,476
2019/7/17,4288,476
2019/7/18,4313,483
2019/7/19,4329,483
2019/7/20,4329,486
2019/7/21,4329,487
2019/7/22,4333,492
2019/7/23,4335,493
2019/7/24,4353,494
2019/7/25,4370,496
2019/7/26,4397,500
2019/7/27,4419,504
2019/7/28,4422,507
2019/7/29,4423,513
2019/7/30,4425,516
2019/7/31,4427,518
2019/8/1,4432,519
2019/8/2,4433,520
2019/8/3,4435,522
2019/8/4,4437,522
2019/8/5,4440,526
2019/8/6,4444,528
2019/8/7,4452,528
2019/8/8,4466,529
2019/8/9,4493,529
2019/8/10,4521,530
2019/8/11,4528,531
2019/8/12,4529,533
2019/8/13,4532,534
2019/8/14,4534,537
2019/8/15,4535,537
2019/8/16,4539,539
2019/8/17,4539,540
2019/8/18,4541,541
2019/8/19,4545,544
2019/8/20,4545,545
2019/8/21,4561,548
2019/8/22,4590,549
2019/8/23,4624,549
2019/8/24,4641,552
2019/8/25,4665,554
2019/8/26,4702,557
2019/8/27,4730,561
2019/8/28,4761,564
2019/8/29,4793,566
2019/8/30,4846,566
2019/8/31,4878,571
2019/9/1,4884,572
2019/9/2,4888,573
2019/9/3,4887,574
2019/9/4,4888,575
2019/9/5,4890,577
2019/9/6,4892,577
2019/9/7,4894,578
2019/9/8,4896,578
2019/9/9,4907,579
2019/9/10,4918,581
2019/9/11,4935,583
2019/9/12,4949,583
2019/9/13,4965,584
2019/9/14,4966,587
2019/9/15,4966,587
2019/9/16,4970,590
2019/9/17,4972,590
2019/9/18,4974,592
2019/9/19,4996,596
2019/9/20,4998,601
2019/9/21,5001,601
2019/9/22,5004,603
2019/9/23,5005,605
2019/9/24,5012,605
2019/9/25,5023,609
2019/9/26,5033,609
2019/9/27,5068,612
2019/9/28,5084,613
2019/9/29,5088,614
2019/9/30,5097,615
2019/10/1,5113,617
2019/10/2,5117,618
2019/10/3,5120,620
2019/10/4,5128,622
2019/10/5,5133,624
2019/10/6,5137,628
2019/10/7,5144,630
2019/10/8,5160,633
2019/10/9,5166,637
2019/10/10,5167,639
2019/10/11,5168,641
2019/10/12,5169,644
2019/10/13,5170,646
2019/10/14,5170,649
2019/10/15,5179,651
2019/10/16,5185,651
2019/10/17,5187,652
2019/10/18,5189,653
2019/10/19,5191,654
2019/10/20,5193,655
2019/10/21,5194,656
2019/10/22,5197,658
2019/10/23,5210,659
2019/10/24,5223,663
2019/10/25,5232,663
2019/10/26,5233,664
2019/10/27,5234,665
2019/10/28,5236,666
2019/10/29,5240,670
2019/10/30,5242,671
2019/10/31,5243,671
2019/11/1,5244,674
2019/11/2,5246,674
2019/11/3,5246,676
2019/11/4,5247,676
2019/11/6,5269,679
2019/11/7,5284,681
2019/11/8,5298,683
2019/11/9,5307,684
2019/11/10,5313,687
2019/11/11,5314,687
2019/11/12,5314,688
2019/11/13,5316,689
2019/11/14,5326,691
2019/11/15,5337,691
2019/11/16,5338,692
2019/11/17,5342,692
2019/11/18,5343,695
2019/11/19,5347,697
2019/11/20,5348,697
2019/11/21,5351,700
2019/11/22,5356,700
2019/11/23,5383,700
2019/11/24,5409,704
2019/11/25,5435,709
2019/11/26,5450,714
2019/11/27,5479,714
2019/11/28,5503,715
2019/11/29,5554,716
2019/11/30,5643,718
2019/12/1,5652,720
2019/12/2,5654,723
2019/12/3,5678,723
2019/12/4,5706,723
2019/12/5,5747,726
2019/12/6,5802,728
2019/12/7,5807,728
2019/12/8,5811,732
2019/12/9,5811,732
2019/12/10,5813,735
2019/12/11,5819,735
2019/12/12,5825,737
2019/12/13,5830,739
2019/12/14,5833,739
2019/12/15,5837,740
2019/12/16,5839,742
2019/12/17,5840,744
2019/12/18,5846,745
2019/12/19,5847,745
2019/12/20,5849,746
2019/12/21,5850,746
2019/12/22,5852,746
2019/12/23,5870,747
2019/12/24,5878,748
2019/12/25,5888,748
2019/12/26,5906,749
2019/12/27,5927,749
2019/12/28,5930,749
2019/12/29,5933,750
2019/12/30,5936,752
2019/12/31,5937,753
2020/1/1,5964,760
2020/1/2,5989,764
2020/1/3,5999,768
2020/1/4,6011,768
2020/1/5,6023,771
2020/1/6,6042,772
2020/1/7,6060,776
2020/1/8,6089,778
2020/1/9,6121,780
2020/1/10,6174,781
2020/1/11,6178,782
2020/1/12,6182,784
2020/1/13,6188,784
2020/1/14,6191,788
2020/1/15,6193,792
2020/1/16,6196,793
2020/1/17,6201,793
2020/1/18,6200,795
2020/1/19,6204,797
2020/1/20,6206,801
2020/1/21,6212,803
2020/1/22,6213,806
2020/1/23,6215,808
2020/1/24,6219,808
2020/1/25,6222,811
2020/1/26,6223,811
2020/1/27,6224,811
2020/1/28,6229,812
2020/1/29,6248,812
2020/1/30,6281,813
2020/1/31,6286,816
2020/2/1,6291,820
2020/2/2,6294,820
2020/2/3,6299,820
2020/2/4,6310,821
2020/2/5,6319,824
2020/2/6,6337,827
2020/2/7,6352,829
2020/2/8,6353,833
2020/2/9,6356,834
2020/2/10,6359,836
2020/2/11,6361,843
2020/2/12,6366,845
2020/2/13,6370,848
2020/2/14,6387,852
2020/2/15,6399,854
2020/2/16,6399,854
2020/2/17,6407,857
2020/2/18,6411,860
2020/2/19,6412,861
2020/2/20,6413,861
2020/2/21,6428,862
2020/2/22,6436,862
2020/2/23,6439,867
2020/2/24,6442,868
2020/2/25,6455,869
2020/2/26,6460,871
2020/2/27,6470,872
2020/2/28,6482,873
2020/2/29,6495,876
2020/3/1,6500,876
2020/3/2,6504,878
2020/3/3,6510,885
2020/3/4,6519,890
2020/3/5,6527,893
2020/3/6,6534,894
2020/3/7,6539,894
2020/3/8,6549,897
2020/3/9,6568,897
2020/3/10,6590,902
2020/3/11,6609,906
2020/3/12,6636,909
2020/3/13,6640,909
2020/3/14,6645,911
2020/3/15,6649,916
2020/3/16,6652,920
2020/3/17,6672,922
2020/3/18,6687,926
2020/3/19,6707,928
2020/3/20,6729,933
2020/3/21,6764,934
2020/3/22,6771,939
2020/3/23,6776,943
2020/3/24,6783,948
2020/3/25,6785,950
2020/3/26,6790,951
2020/3/27,6792,952
2020/3/28,6798,953
2020/3/29,6805,957
2020/3/30,6809,958
2020/3/31,6832,963
2020/4/1,6867,968
2020/4/2,6868,974
2020/4/3,6877,977
2020/4/4,6882,979
2020/4/5,6886,979
2020/4/6,6892,982
2020/4/7,6912,987
2020/4/8,6913,991
2020/4/9,6921,993
2020/4/10,6927,995
2020/4/11,6938,996
2020/4/12,6941,998
2020/4/12,6941,998
2020/4/12,6941,998
2020/4/12,6941,998
2020/4/12,6941,998
2020/4/13,6948,1002
2020/4/14,6956,1006
2020/4/15,6982,1007
2020/4/16,7003,1007
2020/4/17,7024,1012
2020/4/18,7050,1016
2020/4/19,7092,1017
2020/4/20,7154,1021
2020/4/21,7233,1028
2020/4/22,7245,1031
2020/4/23,7257,1033
2020/4/24,7265,1045
2020/4/25,7269,1048
2020/4/26,7276,1053
2020/4/27,7281,1055
2020/4/28,7290,1059
2020/4/29,7298,1063
2020/4/30,7353,1064
2020/5/1,7404,1069
2020/5/2,7411,1073
2020/5/3,7423,1076
2020/5/4,7429,1080
2020/5/5,7439,1088
2020/5/6,7487,1094
2020/5/7,7516,1105
2020/5/8,7532,1113
2020/5/9,7557,1120
2020/5/10,7593,1126
2020/5/11,7634,1129
2020/5/12,7664,1147
2020/5/13,7702,1154
2020/5/14,7758,1156
2020/5/15,7823,1161
2020/5/16,7826,1167
2020/5/17,7827,1172
2020/5/18,7831,1179
2020/5/19,7841,1180
2020/5/20,7842,1187
2020/5/21,7845,1189
2020/5/22,7854,1191
2020/5/23,7861,1195
2020/5/24,7870,1200
2020/5/25,7876,1205
2020/5/26,7884,1208
2020/5/27,7928,1212
2020/5/28,7961,1214
2020/5/29,7969,1216
2020/5/30,7978,1219
2020/5/31,7979,1220
2020/6/1,7979,1222
2020/6/2,7999,1226
2020/6/3,8018,1229
2020/6/4,8040,1229
2020/6/5,8069,1238
2020/6/6,8075,1240
2020/6/7,8080,1241
2020/6/8,8083,1246
2020/6/9,8096,1250
2020/6/10,8104,1255
2020/6/11,8109,1260
2020/6/12,8116,1264
2020/6/13,8143,1265
2020/6/14,8169,1269
2020/6/15,8196,1276
2020/6/16,8201,1280
2020/6/17,8206,1283
2020/6/18,8212,1284
2020/6/19,8217,1286
2020/6/20,8222,1289
2020/6/21,8230,1291
2020/6/22,8234,1295
2020/6/23,8241,1298
2020/6/24,8246,1301
2020/6/25,8255,1305
2020/6/26,8279,1306
2020/6/27,8304,1308
2020/6/28,8308,1311
2020/6/29,8312,1312
2020/6/30,8318,1317
2020/7/1,8325,1320
2020/7/2,8340,1323
2020/7/3,8347,1323
2020/7/4,8358,1330
2020/7/5,8368,1331
2020/7/6,8376,1334
2020/7/7,8392,1336
2020/7/8,8414,1339
2020/7/9,8437,1340
2020/7/10,8468,1342
2020/7/11,8473,1344
2020/7/12,8475,1348
2020/7/13,8482,1350
2020/7/14,8485,1354
2020/7/15,8500,1358
2020/7/16,8517,1358
2020/7/17,8536,1359
2020/7/18,8539,1359
2020/7/19,8540,1363
2020/7/20,8545,1363
2020/7/21,8551,1365
2020/7/22,8553,1369
2020/7/23,8556,1371
2020/7/24,8564,1374
2020/7/25,8572,1376
2020/7/26,8574,1382
2020/7/27,8583,1386
2020/7/28,8601,1389
2020/7/29,8614,1391
2020/7/30,8625,1393
2020/7/31,8642,1394
2020/8/1,8657,1394
2020/8/2,8662,1396
2020/8/3,8665,1399
2020/8/4,8669,1402
2020/8/5,8671,1403
2020/8/6,8680,1403
2020/8/7,8690,1403
2020/8/8,8694,1404
2020/8/9,8696,1405
2020/8/10,8697,1408
2020/8/11,8704,1409
2020/8/12,8705,1411
2020/8/13,8707,1416
2020/8/14,8710,1420
2020/8/15,8714,1420
2020/8/16,8723,1420
2020/8/17,8725,1421
2020/8/18,8731,1421
2020/8/19,8749,1424
2020/8/20,8767,1424
2020/8/21,8784,1426
2020/8/22,8793,1426
2020/8/23,8808,1426
2020/8/24,8825,1429
2020/8/25,8835,1439
2020/8/26,8857,1443
2020/8/27,8883,1444
2020/8/28,8916,1445
2020/8/29,8922,1447
2020/8/30,8925,1450
2020/8/31,8928,1451
2020/9/1,8932,1457
2020/9/2,8939,1459
2020/9/3,8940,1460
2020/9/4,8956,1460
2020/9/5,8966,1460
2020/9/6,8972,1461
2020/9/7,8978,1465
2020/9/9,8986,1467
2020/9/10,8989,1470
2020/9/11,8991,1471
2020/9/12,8995,1473
2020/9/13,9000,1474
2020/9/14,9002,1476
2020/9/15,9022,1477
2020/9/16,9030,1478
2020/9/16,9030,1478
2020/9/16,9030,1478
2020/9/16,9030,1478
2020/9/16,9030,1478
2020/9/17,9044,1481
2020/9/18,9059,1484
2020/9/19,9062,1486
2020/9/20,9063,1489
2020/9/21,9065,1492
2020/9/22,9066,1494
2020/9/23,9068,1495
2020/9/24,9073,1495
2020/9/25,9076,1495
2020/9/26,9079,1499
2020/9/27,9085,1501
2020/9/28,9089,1501
2020/9/29,9100,1502
2020/9/30,9111,1505
2020/10/1,9127,1507
2020/10/2,9140,1515
2020/10/3,9142,1516
2020/10/4,9151,1517
2020/10/5,9156,1518
2020/10/6,9170,1519
2020/10/7,9190,1521
2020/10/8,9194,1522
2020/10/9,9197,1526
2020/10/10,9200,1526
2020/10/11,9204,1528
2020/10/12,9214,1531
2020/10/13,9220,1536
2020/10/14,9248,1540
2020/10/15,9265,1540
2020/10/16,9297,1542
2020/10/17,9300,1546
2020/10/18,9308,1547
2020/10/19,9314,1549
2020/10/20,9322,1552
2020/10/21,9335,1554
2020/10/22,9353,1556
2020/10/23,9362,1560
2020/10/24,9363,1563
2020/10/25,9371,1563
2020/10/26,9378,1565
2020/10/27,9395,1566
2020/10/28,9417,1567
2020/10/29,9437,1569
2020/10/30,9457,1571
2020/10/31,9462,1575
2020/11/1,9465,1576
2020/11/2,9465,1578
2020/11/3,9469,1578
2020/11/4,9476,1579
2020/11/5,9481,1581
2020/11/6,9484,1587
2020/11/7,9491,1589
2020/11/8,9493,1592
2020/11/9,9497,1593
2020/11/10,9501,1594
2020/11/11,9507,1595
2020/11/12,9544,1597
2020/11/13,9551,1599
2020/11/14,9556,1603
2020/11/15,9563,1605
2020/11/16,9565,1606
2020/11/17,9569,1608
2020/11/18,9581,1613
2020/11/19,9583,1613
2020/11/20,9585,1614
2020/11/21,9611,1618
2020/11/22,9647,1618
2020/11/23,9681,1618
2020/11/24,9708,1618
2020/11/25,9733,1618
2020/11/26,9769,1618
2020/11/27,9838,1618
2020/11/28,9926,1618
2020/11/29,9931,1618
2020/11/30,9935,1618
2020/12/1,9970,1618
2020/12/2,9987,1641
2020/12/3,10005,1658
2020/12/4,10031,1662
2020/12/5,10061,1663
2020/12/11,10110,1679
2020/12/12,10112,1683
2020/12/13,10116,1686
2020/12/14,10118,1687
2020/12/15,10123,1690
2020/12/16,10138,1693
2020/12/17,10155,1694
2020/12/18,10185,1695
2020/12/19,10196,1698
2020/12/20,10202,1702
2020/12/21,10205,1703
2020/12/22,10215,1708
2020/12/23,10230,1709
2020/12/24,10236,1710
2020/12/25,10239,1713
2020/12/26,10240,1715
2020/12/27,10242,1717
2020/12/28,10245,1719
2020/12/29,10250,1722
2020/12/30,10258,1725
2020/12/31,10282,1729
2021/1/1,10312,1735
2021/1/2,10331,1738
2021/1/3,10353,1741
2021/1/4,10379,1744
2021/1/5,10406,1746
2021/1/6,10443,1748
2021/1/7,10472,1748
2021/1/8,10511,1752
2021/1/9,10541,1755
2021/1/10,10545,1758
2021/1/11,10549,1758
2021/1/12,10555,1763
2021/1/13,10560,1768
2021/1/14,10561,1768
2021/1/15,10567,1770
2021/1/16,10582,1777
2021/1/17,10585,1777
2021/1/18,10590,1780
2021/1/19,10597,1784
2021/1/20,10610,1787
2021/1/21,10629,1790
2021/1/22,10649,1790
2021/1/23,10663,1791
2021/1/24,10667,1794
2021/1/25,10668,1796
2021/1/26,10671,1796
2021/1/27,10689,1800
2021/1/28,10692,1803
2021/1/29,10699,1805
2021/1/30,10699,1805
2021/1/31,10707,1809
2021/2/1,10712,1812
2021/2/2,10726,1813
2021/2/3,10734,1813
2021/2/4,10743,1815
2021/2/5,10753,1820
2021/2/6,10753,1824
2021/2/7,10756,1824
2021/2/8,10776,1826
2021/2/9,10796,1831